policy,budget,ndcg10,latency_ms
MiniLM,0.0,0.526599513179073,0.67
FIRST,1.0,0.6471850027837429,69.51109944764059
Tail-floor gate (locked),0.4,0.650056142420189,30.171426638860723
tail-floor 0.75@0.35,0.35,0.6374040231425065,26.509711529703345
tail-floor 0.90@0.35,0.35,0.6290435992533674,26.131545744561592
tail-floor 1.00@0.35,0.35,0.6123147268843603,25.85467791932635
tail-floor 0.75@0.40,0.4,0.650085553837935,30.17938306269236
tail-floor 0.90@0.40,0.4,0.6433040997356105,29.95630269643618
tail-floor 1.00@0.40,0.4,0.626788460218639,29.67164898406947
tail-floor 0.75@0.45,0.45,0.6597501983543882,33.62775107673835
tail-floor 0.90@0.45,0.45,0.655985630431039,33.62597422942519
tail-floor 1.00@0.45,0.45,0.6411614115705031,33.49365156430751
tail-floor 0.75@0.50,0.5,0.6675158835712153,37.16771344147157
tail-floor 0.90@0.50,0.5,0.6656502749474923,37.074342243471186
tail-floor 1.00@0.50,0.5,0.6525588297810742,36.98906343365554
tail-floor 0.75@0.55,0.55,0.6749202786367237,40.51292636716273
tail-floor 0.90@0.55,0.55,0.6734159601643193,40.6143046082044
tail-floor 1.00@0.55,0.55,0.6618237513509444,40.501018836132715
