setting,split,ndcg10,hit10,mrr,first_call_rate,latency_ms,throughput_qps
student,large_test,0.526599513179073,0.9029,0.4697578506362059,0.0,0.67,1492.5373134328358
first,large_test,0.6471850027837429,0.99255,0.5498525345762769,1.0,69.51109944764059,14.38619167221276
gate,large_test,0.650056142420189,0.98155,0.5862742889734105,0.4,30.171426638860723,33.14394151690535
