policy,budget,tail_floor,ndcg10,tail_ndcg10,latency_ms,source
ordinary_gain_gate,0.38465,0.0,0.6448600868091792,0.5969504291975279,29.107130199105015,R8.10 fresh-confirm
tail_floor_gate,0.35,0.75,0.6374040231425065,0.6459181444749488,26.509711529703345,R8.11 fresh-confirm
tail_floor_gate,0.35,0.9,0.6290435992533674,0.6636174892870204,26.131545744561592,R8.11 fresh-confirm
tail_floor_gate,0.35,1.0,0.6123147268843603,0.6433829856415223,25.85467791932635,R8.11 fresh-confirm
tail_floor_gate,0.4,0.75,0.650085553837935,0.6459181444749488,30.17938306269236,R8.11 fresh-confirm
tail_floor_gate,0.4,0.9,0.6433040997356105,0.6636174892870204,29.95630269643618,R8.11 fresh-confirm
tail_floor_gate,0.4,1.0,0.626788460218639,0.6433829856415223,29.67164898406947,R8.11 fresh-confirm
tail_floor_gate,0.45,0.75,0.6597501983543882,0.6459181444749488,33.62775107673835,R8.11 fresh-confirm
tail_floor_gate,0.45,0.9,0.655985630431039,0.6636174892870204,33.62597422942519,R8.11 fresh-confirm
tail_floor_gate,0.45,1.0,0.6411614115705031,0.6433829856415223,33.49365156430751,R8.11 fresh-confirm
tail_floor_gate,0.5,0.75,0.6675158835712153,0.6459181444749488,37.16771344147157,R8.11 fresh-confirm
tail_floor_gate,0.5,0.9,0.6656502749474923,0.6636174892870204,37.074342243471186,R8.11 fresh-confirm
tail_floor_gate,0.5,1.0,0.6525588297810742,0.6433829856415223,36.98906343365554,R8.11 fresh-confirm
tail_floor_gate,0.55,0.75,0.6749202786367237,0.6459181444749488,40.51292636716273,R8.11 fresh-confirm
tail_floor_gate,0.55,0.9,0.6734159601643193,0.6636174892870204,40.6143046082044,R8.11 fresh-confirm
tail_floor_gate,0.55,1.0,0.6618237513509444,0.6433829856415223,40.501018836132715,R8.11 fresh-confirm
