query_id,request_id,query_words,relevant_docs,bm25_ndcg10,first_ndcg10,prp_ndcg10,first_minus_bm25,first_minus_prp,bucket
PLAIN-1950,nfcorpus-PLAIN-1950,1,13,0.2489083270225946,0.2489083270225946,0.3589542101716347,0.0,-0.1100458831490401,tie
PLAIN-1962,nfcorpus-PLAIN-1962,1,13,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-1972,nfcorpus-PLAIN-1972,1,11,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-1983,nfcorpus-PLAIN-1983,1,32,1.0,1.0,0.933745776545611,0.0,0.06625422345438903,tie
PLAIN-1995,nfcorpus-PLAIN-1995,2,11,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2009,nfcorpus-PLAIN-2009,1,8,0.12647135138382856,0.1089364926177559,0.12647135138382856,-0.017534858766072664,-0.017534858766072664,loss
PLAIN-2019,nfcorpus-PLAIN-2019,1,3,0.46927872602275644,0.46927872602275644,0.46927872602275644,0.0,0.0,tie
PLAIN-2030,nfcorpus-PLAIN-2030,1,6,0.3026024134988135,0.3026024134988135,0.3026024134988135,0.0,0.0,tie
PLAIN-2040,nfcorpus-PLAIN-2040,1,132,0.7573821447149965,0.7116179486056782,0.7116179486056782,-0.04576419610931837,0.0,loss
PLAIN-2051,nfcorpus-PLAIN-2051,2,355,0.7133080652109928,0.7215194105726963,0.5423247252962317,0.008211345361703537,0.17919468527646465,gain
PLAIN-2061,nfcorpus-PLAIN-2061,1,410,0.933745776545611,1.0,1.0,0.06625422345438903,0.0,gain
PLAIN-2071,nfcorpus-PLAIN-2071,1,45,0.5810820381115674,0.48153499054313026,0.39138176112557604,-0.09954704756843719,0.09015322941755421,loss
PLAIN-2081,nfcorpus-PLAIN-2081,2,1,1.0,1.0,1.0,0.0,0.0,tie
PLAIN-2092,nfcorpus-PLAIN-2092,1,10,0.6489315753318465,0.6489315753318465,0.6489315753318465,0.0,0.0,tie
PLAIN-2102,nfcorpus-PLAIN-2102,1,421,0.5352543167750637,0.5326208815196265,0.5368103404171507,-0.002633435255437244,-0.004189458897524201,loss
PLAIN-2113,nfcorpus-PLAIN-2113,2,1,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2124,nfcorpus-PLAIN-2124,1,17,0.3589542101716347,0.3589542101716347,0.3589542101716347,0.0,0.0,tie
PLAIN-2134,nfcorpus-PLAIN-2134,1,12,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2145,nfcorpus-PLAIN-2145,3,9,0.14829723057014912,0.2350455494144854,0.14829723057014912,0.08674831884433629,0.08674831884433629,gain
PLAIN-2156,nfcorpus-PLAIN-2156,1,6,0.644824486427155,0.644824486427155,0.644824486427155,0.0,0.0,tie
PLAIN-2167,nfcorpus-PLAIN-2167,1,1,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2177,nfcorpus-PLAIN-2177,1,24,0.29727159644205703,0.31516255047698366,0.40853591842579556,0.01789095403492663,-0.0933733679488119,gain
PLAIN-2187,nfcorpus-PLAIN-2187,1,9,0.3833427799846345,0.3833427799846345,0.3833427799846345,0.0,0.0,tie
PLAIN-2197,nfcorpus-PLAIN-2197,1,58,0.8579809428223729,0.8643145546088337,0.8415908474314974,0.006333611786460747,0.022723707177336294,gain
PLAIN-2209,nfcorpus-PLAIN-2209,1,2,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2220,nfcorpus-PLAIN-2220,1,9,0.2350455494144854,0.2350455494144854,0.2350455494144854,0.0,0.0,tie
PLAIN-2230,nfcorpus-PLAIN-2230,1,7,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2240,nfcorpus-PLAIN-2240,2,11,0.5834330535576521,0.6421867266689009,0.5727555047321237,0.058753673111248794,0.0694312219367772,gain
PLAIN-2250,nfcorpus-PLAIN-2250,2,2,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2261,nfcorpus-PLAIN-2261,2,60,0.44773452261294694,0.5834330535576521,0.601572065456638,0.13569853094470513,-0.018139011898985924,gain
PLAIN-2271,nfcorpus-PLAIN-2271,1,10,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2281,nfcorpus-PLAIN-2281,1,1,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2291,nfcorpus-PLAIN-2291,2,5,0.45221360703148816,0.21398626473452756,0.5531464700081437,-0.2382273422969606,-0.3391602052736161,loss
PLAIN-2301,nfcorpus-PLAIN-2301,2,13,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2311,nfcorpus-PLAIN-2311,1,2,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2321,nfcorpus-PLAIN-2321,2,5,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2332,nfcorpus-PLAIN-2332,2,97,0.5100691314582919,0.6051399156371955,0.36602461869280256,0.09507078417890358,0.23911529694439293,gain
PLAIN-2343,nfcorpus-PLAIN-2343,2,2,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2354,nfcorpus-PLAIN-2354,2,5,0.5087403079104241,0.5087403079104241,0.48522855511632257,0.0,0.02351175279410156,tie
PLAIN-2364,nfcorpus-PLAIN-2364,2,15,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2375,nfcorpus-PLAIN-2375,1,2,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2386,nfcorpus-PLAIN-2386,1,19,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2396,nfcorpus-PLAIN-2396,1,18,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2408,nfcorpus-PLAIN-2408,1,5,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2430,nfcorpus-PLAIN-2430,6,46,0.3589542101716347,0.5037157042890634,0.5115716521414854,0.14476149411742872,-0.00785594785242194,gain
PLAIN-2440,nfcorpus-PLAIN-2440,9,21,0.0,0.0,0.0,0.0,0.0,tie
PLAIN-2450,nfcorpus-PLAIN-2450,4,38,0.31488013066763093,0.2934556883974402,0.22009176629808017,-0.021424442270190747,0.07336392209936002,loss
PLAIN-2460,nfcorpus-PLAIN-2460,7,31,0.26695075719413863,0.24559324971596425,0.1983604281304198,-0.021357507478174387,0.047232821585544454,loss
